id,ime,gorovje,visina,ogledi,priljubljenost,stevilo_poti
1,Veliki Snežnik,"Goriško, Notranjsko in Snežniško hribovje",1796,1052077,99,10
2,Mali Snežnik,"Goriško, Notranjsko in Snežniško hribovje",1694,439327,86,4
3,Mali Golak,"Goriško, Notranjsko in Snežniško hribovje",1495,710879,98,7
4,Srednji Golak,"Goriško, Notranjsko in Snežniško hribovje",1480,403846,83,2
5,Smrekov vrh,"Goriško, Notranjsko in Snežniško hribovje",1449,4490,40,1
6,Mrzovec,"Goriško, Notranjsko in Snežniško hribovje",1410,420992,84,3
7,Veliki Modrasovec,"Goriško, Notranjsko in Snežniško hribovje",1353,479767,89,8
8,Bukov Vrh (Trnovski gozd),"Goriško, Notranjsko in Snežniško hribovje",1314,290282,72,0
9,Suhi vrh (Nanos),"Goriško, Notranjsko in Snežniško hribovje",1313,661317,97,10
10,Mali Modrasovec,"Goriško, Notranjsko in Snežniško hribovje",1305,329274,76,4
11,Poldanovec,"Goriško, Notranjsko in Snežniško hribovje",1299,474864,89,3
12,Goteniški Snežnik,"Goriško, Notranjsko in Snežniško hribovje",1289,392890,82,3
13,Srednja gora (Hrušica),"Goriško, Notranjsko in Snežniško hribovje",1275,267514,70,2
14,Veliki Javornik (Javorniki),"Goriško, Notranjsko in Snežniško hribovje",1268,533587,93,3
15,Streliški vrh (Hrušica),"Goriško, Notranjsko in Snežniško hribovje",1266,296600,73,2
16,Iztokova koča pod Golaki,"Goriško, Notranjsko in Snežniško hribovje",1260,505346,91,6
17,Turn,"Goriško, Notranjsko in Snežniško hribovje",1254,278137,71,1
18,Kuk (Kolovrat),"Goriško, Notranjsko in Snežniško hribovje",1243,483820,90,3
19,Dom na Sviščakih,"Goriško, Notranjsko in Snežniško hribovje",1242,362040,79,1
20,Koča Antona Bavčerja na Čavnu,"Goriško, Notranjsko in Snežniško hribovje",1242,606375,96,8
21,Javornik (nad Črnim Vrhom),"Goriško, Notranjsko in Snežniško hribovje",1240,601525,95,8
22,Vojkova koča na Nanosu,"Goriško, Notranjsko in Snežniško hribovje",1240,1103722,100,16
23,Veliki Rob,"Goriško, Notranjsko in Snežniško hribovje",1237,494963,90,11
24,Kucelj (na Čavnu),"Goriško, Notranjsko in Snežniško hribovje",1237,579939,95,12
25,Rezinski vrh,"Goriško, Notranjsko in Snežniško hribovje",1231,193073,63,1
26,Sveti Duh (Hrušica),"Goriško, Notranjsko in Snežniško hribovje",1221,236935,67,2
27,Mali Javornik (Javorniki),"Goriško, Notranjsko in Snežniško hribovje",1219,292095,72,2
28,Petelinjek,"Goriško, Notranjsko in Snežniško hribovje",1212,242575,68,2
29,Grmada (Nanos),"Goriško, Notranjsko in Snežniško hribovje",1209,506175,91,7
30,Velika Jazbina,"Goriško, Notranjsko in Snežniško hribovje",1201,186018,62,1
31,Nagnoj,"Goriško, Notranjsko in Snežniško hribovje",1193,253426,69,2
32,Cerk,"Goriško, Notranjsko in Snežniško hribovje",1192,218031,65,5
33,Stanov rob,"Goriško, Notranjsko in Snežniško hribovje",1191,300588,73,2
34,Čaven,"Goriško, Notranjsko in Snežniško hribovje",1185,621507,96,3
35,Škol,"Goriško, Notranjsko in Snežniško hribovje",1182,352009,78,1
36,Križna gora (Hrušica),"Goriško, Notranjsko in Snežniško hribovje",1162,308795,74,3
37,Pirnatova koča na Javorniku,"Goriško, Notranjsko in Snežniško hribovje",1156,521909,92,6
38,Maj,"Goriško, Notranjsko in Snežniško hribovje",1142,7212,44,1
39,Velika ledena jama v Paradani,"Goriško, Notranjsko in Snežniško hribovje",1140,273910,71,1
40,Racna gora,"Goriško, Notranjsko in Snežniško hribovje",1140,360125,79,2
41,Trinški vrh,"Goriško, Notranjsko in Snežniško hribovje",1138,180329,61,2
42,Špičasti vrh,"Goriško, Notranjsko in Snežniško hribovje",1128,413730,84,3
43,Bela stena,"Goriško, Notranjsko in Snežniško hribovje",1122,244788,68,1
44,Krokar,"Goriško, Notranjsko in Snežniško hribovje",1122,299950,73,1
45,Na gradu,"Goriško, Notranjsko in Snežniško hribovje",1115,213612,65,2
46,Slivnica,"Goriško, Notranjsko in Snežniško hribovje",1114,775427,98,6
47,Krim,"Goriško, Notranjsko in Snežniško hribovje",1107,959966,99,16
48,Čelkov vrh,"Goriško, Notranjsko in Snežniško hribovje",1106,319235,75,2
49,Sveta Trojica,"Goriško, Notranjsko in Snežniško hribovje",1106,561239,94,4
50,Velika Milanja,"Goriško, Notranjsko in Snežniško hribovje",1099,225401,66,1
51,Kršičevec,"Goriško, Notranjsko in Snežniško hribovje",1091,379858,81,3
52,Baba (pri Javornikih),"Goriško, Notranjsko in Snežniško hribovje",1085,11340,45,2
53,Razsušica,"Goriško, Notranjsko in Snežniško hribovje",1083,210642,64,2
54,Kameni zid,"Goriško, Notranjsko in Snežniško hribovje",1081,183109,62,1
55,Medvižica,"Goriško, Notranjsko in Snežniško hribovje",1081,221412,66,2
56,Dom na Slivnici,"Goriško, Notranjsko in Snežniško hribovje",1078,503122,91,5
57,Črni vrh (pri Lokvah),"Goriško, Notranjsko in Snežniško hribovje",1072,13416,46,1
58,Veliki vrh (nad Lomom),"Goriško, Notranjsko in Snežniško hribovje",1071,5170,41,4
59,Lašček,"Goriško, Notranjsko in Snežniško hribovje",1071,342295,77,4
60,Bivak Zanuso na Kolovratu,"Goriško, Notranjsko in Snežniško hribovje",1065,172993,61,2
61,Mokrc,"Goriško, Notranjsko in Snežniško hribovje",1059,316612,75,1
62,Ostrič,"Goriško, Notranjsko in Snežniško hribovje",1056,353261,78,1
63,Mala gora,"Goriško, Notranjsko in Snežniško hribovje",1034,496477,90,4
64,Bele ovce,"Goriško, Notranjsko in Snežniško hribovje",1029,250251,68,1
65,Slavnik,"Goriško, Notranjsko in Snežniško hribovje",1028,1007695,99,11
66,Vremščica,"Goriško, Notranjsko in Snežniško hribovje",1027,799752,98,8
67,Sveti Hieronim (na Nanosu),"Goriško, Notranjsko in Snežniško hribovje",1020,343554,77,7
68,Gora (Sveti Lovrenc),"Goriško, Notranjsko in Snežniško hribovje",1019,484933,90,3
69,Špilnik,"Goriško, Notranjsko in Snežniško hribovje",1018,4810,41,2
70,Koča na Kamnem griču,"Goriško, Notranjsko in Snežniško hribovje",1016,303858,74,7
71,Firstov rep,"Goriško, Notranjsko in Snežniško hribovje",1002,8060,44,5
72,Sinji vrh,"Goriško, Notranjsko in Snežniško hribovje",1002,607034,96,11
73,Grmada pri Slavniku,"Goriško, Notranjsko in Snežniško hribovje",1001,346500,78,6
74,Županov vrh,"Goriško, Notranjsko in Snežniško hribovje",999,331680,76,6
75,Novaška gora,"Goriško, Notranjsko in Snežniško hribovje",998,196092,63,1
76,Koča na Kozleku,"Goriško, Notranjsko in Snežniško hribovje",997,373192,80,3
77,Špiček (Špečk),"Goriško, Notranjsko in Snežniško hribovje",986,245470,68,3
78,Lovsko zavetišče pod Čavnom,"Goriško, Notranjsko in Snežniško hribovje",980,213764,65,1
79,Volovja reber,"Goriško, Notranjsko in Snežniško hribovje",975,267918,70,1
80,Sveti Bric (Nanos),"Goriško, Notranjsko in Snežniško hribovje",965,253300,69,2
81,Rotovc,"Goriško, Notranjsko in Snežniško hribovje",964,289541,72,4
82,Mišnice,"Goriško, Notranjsko in Snežniško hribovje",961,5180,41,2
83,Kovk,"Goriško, Notranjsko in Snežniško hribovje",961,400098,83,3
84,Bloudkova skakalnica (Predmeja),"Goriško, Notranjsko in Snežniško hribovje",960,315,15,2
85,Križna gora nad Colom,"Goriško, Notranjsko in Snežniško hribovje",957,266823,70,2
