gora_id,ime,cas,zahtevnost
1,Sviščaki - Veliki Snežnik,130,lahka označena pot
1,Kapetanova bajta - Veliki Snežnik,55,lahka označena pot
1,Leskova dolina - Veliki Snežnik,195,lahka označena pot
1,Snežniška Grda jama - Veliki Snežnik (čez Mali Snežnik),85,lahka označena pot
1,Gašperjev hrib - Veliki Snežnik,90,lahka označena pot
1,Sviščaki - Veliki Snežnik (čez Mali Snežnik),135,lahka označena pot
1,Sežanje - Veliki Snežnik,100,lahka označena pot
1,Sviščaki - Veliki Snežnik (po cesti),120,lahka označena pot
1,Grda draga - Veliki Snežnik (čez Mali Snežnik),115,lahka označena pot
1,Mašun - Veliki Snežnik,240,lahka označena pot
2,Snežniška Grda jama - Mali Snežnik,60,lahka označena pot
2,Sviščaki - Mali Snežnik,110,lahka označena pot
2,Grda draga - Mali Snežnik,90,lahka označena pot
2,Mašun - Mali Snežnik,215,lahka označena pot
3,Koča Edmunda Čibeja v Tihi dolini - Mali Golak,120,lahka označena pot
3,Mala Lazna - Mali Golak,85,lahka označena pot
3,Preval Strgarija - Mali Golak,45,lahka označena pot
3,Kozarnice - Mali Golak,65,lahka označena pot
3,Škrbina - Mali Golak,120,lahka označena pot
3,Predmeja (Gorjanka) - Mali Golak,145,lahka označena pot
3,Bevški vrh - Mali Golak,95,lahka označena pot
4,Kozarnice - Srednji Golak (čez Mali Golak),110,lahka označena pot
4,Škrbina - Srednji Golak,75,lahka označena pot
5,Anina koča - Smrekov vrh (Na smrekov vrh),120,zelo zahtevna neoznačena steza
6,Turški klanec - Mrzovec,90,lahka označena pot
6,Mala Lazna - Mrzovec (po cesti),150,lahka neoznačena steza
6,Nemci - Mrzovec,160,lahka neoznačena steza
7,Polomova rajda - Veliki Modrasovec (mimo Koče na Čavnu),85,lahka označena pot
7,Predmeja - Veliki Modrasovec,100,lahka označena pot
7,Lokavec - Veliki Modrasovec,175,lahka označena pot
7,Predmeja (tuneli) - Veliki Modrasovec,115,lahka označena pot
7,Kamnje - Veliki Modrasovec,175,lahka označena pot
7,Vrtovin - Veliki Modrasovec,195,lahka označena pot
7,Stomaž - Veliki Modrasovec,160,lahka označena pot
7,Bevški vrh - Veliki Modrasovec,100,lahka označena pot
9,Razdrto - Suhi vrh (Nanos) (strma pot),200,zahtevna označena pot
9,Strane - Suhi vrh (Nanos) (položna pot),145,lahka označena pot
9,Strane - Suhi vrh (Nanos) (strma pot),135,lahka označena pot
9,Razdrto - Suhi vrh (Nanos) (položna pot),240,lahka označena pot
9,Furlanovo zavetišče pri Abramu - Suhi vrh (Nanos) (strma pot),215,lahka označena pot
9,Eko koča Nanos (Lovska koča Vojkovo) - Suhi vrh (Nanos) (položna pot),215,lahka označena pot
9,Furlanovo zavetišče pri Abramu - Suhi vrh (Nanos) (položna pot),225,lahka označena pot
9,Eko koča Nanos (Lovska koča Vojkovo) - Suhi vrh (Nanos) (strma pot),205,lahka označena pot
9,Lozice - Suhi vrh (Nanos) (položna pot),285,lahka označena pot
9,Lozice - Suhi vrh (Nanos) (strma pot),275,lahka označena pot
10,Polomova rajda - Mali Modrasovec (mimo Koče na Čavnu),70,"lahka označena pot, lahka neoznačena steza"
10,Lokavec - Mali Modrasovec,160,"lahka označena pot, lahka neoznačena steza"
10,Predmeja - Mali Modrasovec,85,"lahka označena pot, lahka neoznačena steza"
10,Bevški vrh - Mali Modrasovec,110,"lahka označena pot, lahka neoznačena steza"
11,Lokve - Poldanovec,90,lahka označena pot
11,Dom na Lazni - Poldanovec,120,delno zahtevna označena pot
11,Gorenja Trebuša - Poldanovec (Poldanovška grapa),180,zahtevna označena pot
12,Gotenica - Goteniški Snežnik,165,lahka označena pot
12,Kočevska Reka - Goteniški Snežnik,195,lahka označena pot
12,Cesta proti Medvedjeku - Goteniški Snežnik,40,lahka označena pot
13,Podkraj - Srednja gora (Hrušica) (vzhodna pot),90,lahka označena pot
13,Podkraj - Srednja gora (Hrušica) (zahodna pot),105,lahka označena pot
14,Rakov Škocjan - Veliki Javornik (Javorniki),120,lahka označena pot
14,Kalce - Veliki Javornik (Javorniki),90,lahka označena pot
14,Jeršiče - Veliki Javornik (Javorniki),140,lahka označena pot
15,Podkraj - Streliški vrh (Hrušica) (vzhodna pot),90,lahka označena pot
15,Podkraj - Streliški vrh (Hrušica) (zahodna pot),80,lahka označena pot
16,Mala Lazna - Iztokova koča pod Golaki,45,lahka označena pot
16,Preval Strgarija - Iztokova koča pod Golaki,5,lahka označena pot
16,Kozarnice - Iztokova koča pod Golaki,25,lahka označena pot
16,Predmeja (Gorjanka) - Iztokova koča pod Golaki (po STKP),105,lahka neoznačena steza
16,Bevški vrh - Iztokova koča pod Golaki,55,lahka označena pot
16,Koča Edmunda Čibeja v Tihi dolini - Iztokova koča pod Golaki (po STKP),80,lahka neoznačena steza
17,Rakitnica - Turn,180,lahka označena pot
18,Solarji - Kuk (Kolovrat),130,lahka neoznačena steza
18,Livške Ravne - Kuk (Kolovrat),20,lahka neoznačena steza
18,Livek - Kuk (Kolovrat),90,lahka neoznačena steza
19,Mašun - Dom na Sviščakih,195,lahka označena pot
20,Predmeja (tuneli) - Koča Antona Bavčerja na Čavnu,90,lahka označena pot
20,Polomova rajda - Koča Antona Bavčerja na Čavnu (po cesti),60,lahka označena pot
20,Lokavec - Koča Antona Bavčerja na Čavnu,150,lahka označena pot
20,Predmeja - Koča Antona Bavčerja na Čavnu,75,lahka označena pot
20,Kamnje - Koča Antona Bavčerja na Čavnu,150,lahka označena pot
20,Stomaž - Koča Antona Bavčerja na Čavnu,135,lahka označena pot
20,Vrtovin - Koča Antona Bavčerja na Čavnu,170,lahka označena pot
20,Bevški vrh - Koča Antona Bavčerja na Čavnu,110,lahka označena pot
21,Lome - Javornik (nad Črnim Vrhom),65,lahka označena pot
21,Črni Vrh (Grom) - Javornik (nad Črnim Vrhom),75,lahka označena pot
21,Črni Vrh - Javornik (nad Črnim Vrhom) (čez Šajsno Ravan),150,lahka označena pot
21,Podkraj - Javornik (nad Črnim Vrhom),150,lahka označena pot
21,Kampelc - Javornik (nad Črnim Vrhom),135,lahka označena pot
21,Repna dolina - Javornik (nad Črnim Vrhom),105,lahka označena pot
21,Col - Javornik (nad Črnim Vrhom),185,lahka označena pot
21,Vodice (Mali Školj) - Javornik (nad Črnim Vrhom),95,lahka označena pot
22,Razdrto - Vojkova koča na Nanosu (položna pot),135,lahka označena pot
22,Razdrto - Vojkova koča na Nanosu (strma pot),105,zahtevna označena pot
22,Eko koča Nanos (Lovska koča Vojkovo) - Vojkova koča na Nanosu,110,lahka označena pot
22,Furlanovo zavetišče pri Abramu - Vojkova koča na Nanosu,120,lahka označena pot
22,Veliko Ubeljsko - Vojkova koča na Nanosu,110,lahka označena pot
22,Strane - Vojkova koča na Nanosu,135,lahka označena pot
22,Gradišče pri Vipavi - Vojkova koča na Nanosu (Furlanova pot),270,zelo zahtevna označena pot
22,Razdrto - Vojkova koča na Nanosu (Janezova pot),120,lahka neoznačena steza
